# CGHS rates for treatment at healthcare organisations, Tier I (X) cities, semi private ward.
# Source: Office Memorandum F.No.5-16/CGHS(HQ)/HEC/2024(PartI) dated 03.10.2025, Annexure I (A),
#         effective 13.10.2025, as published by the Directorate General of Health Services, Delhi:
#         https://dgehs.delhi.gov.in/sites/default/files/inline-files/cghs_rate.pdf
# Source file SHA-256: 964b42f58eb0852d93293a658a183cceaafae33ba30a892979262c21695b9746
# Extracted 2026-09-25: 1998 rows, serial numbers 1 to 1998 without gaps, every rate cross checked
# against the source text. Delhi is a Tier I (X) city. Rates in rupees.
sr,code,name,speciality,non_nabh,nabh,super_speciality
1541,OG060,Vaginal/Cervical Myomectomy,Obstetrics And Gynaecology Procedure,36550,43000,43000
1542,OG061,Intra Uterine Insemination,Obstetrics And Gynaecology Procedure,4250,5000,5000
1543,OG062,Intracytoplasmic sperm injection (ICSI),Obstetrics And Gynaecology Procedure,17000,20000,20000
1544,OG063,Laparotomy abdominal sacro-colpopexy,Obstetrics And Gynaecology Procedure,45050,53000,53000
1545,OG064,Vaginal Colpopexy/colpopexy-abdominal,Obstetrics And Gynaecology Procedure,36550,43000,43000
1546,OG065,Laparoscopic abdominal colpopexy/sacro-colpopexy,Obstetrics And Gynaecology Procedure,45050,53000,53000
1547,OG066,Endometrial aspiration cytology/biopsy (including Pipelle Charges),Obstetrics And Gynaecology Procedure,2550,3000,3000
1548,OG067,CGHS rates for Laparoscopic treatment for stress incontinence,Obstetrics And Gynaecology Procedure,36550,43000,43000
1549,OG068,Transvaginal tapes for Stress incontinence,Obstetrics And Gynaecology Procedure,29750,35000,35000
1550,OG069,Trans-obturator tapes for Stress incontinence,Obstetrics And Gynaecology Procedure,36550,43000,43000
1551,OG070,Interventional radiographic arterial embolization/Uterine artery embolization(UAE),Obstetrics And Gynaecology Procedure,29750,35000,35000
1552,OG071,Internal Iliac Artery ligation,Obstetrics And Gynaecology Procedure,7225,8500,8500
1553,OG072,Surgical management of PPH (Uterine compression stitches/stepwise devascularisation)/peripartum hysterectomy,Obstetrics And Gynaecology Procedure,17000,20000,20000
1554,OG073,Intra-uterine fetal blood transfusion,Obstetrics And Gynaecology Procedure,45050,53000,53000
1555,OG074,Hysteroscopy Transcervical Resection of Endometrium (TCRE),Obstetrics And Gynaecology Procedure,29750,35000,35000
1556,OG075,Hysteroscopy Removal of Intra-Uterine Contraceptive Device (IUCD),Obstetrics And Gynaecology Procedure,17000,20000,20000
1557,OG076,hysteroscopic resection of uterine septum,Obstetrics And Gynaecology Procedure,29750,35000,35000
1558,OG077,Diagnostic Hysteroscopy with or without endometrial Biopsy,Obstetrics And Gynaecology Procedure,17000,20000,20000
1559,OG078,Sterilization (minilap)-post partum/post abortion,Obstetrics And Gynaecology Procedure,7820,9200,9200
1560,OG079,Interval Sterilization(minilap)-BAT / Male Sterilization(Vasectomy),Obstetrics And Gynaecology Procedure,17000,20000,20000
1561,OG080,Medical Termination of Pregnancy (MTP)- 1st Trimester with Medicine /Manual Vacuum Aspiration /Check Curettage,Obstetrics And Gynaecology Procedure,11390,13400,13400
1562,OG081,Medical Termination of Pregnancy (MTP) - 2nd Trimester /Suction and Evacuation/Dilatation and Curettage/Dilatation and expulsion,Obstetrics And Gynaecology Procedure,17000,20000,20000
1563,OG082,Insertion of IUD/IUCD/Pessary,Obstetrics And Gynaecology Procedure,3400,4000,4000
1564,OG083,Removal of IUD/IUCD/Pessary,Obstetrics And Gynaecology Procedure,850,1000,1000
1565,NU001,Ultrasound guided kidney Biopsy,Nephrology And Urology - Biopsy,7820,9200,9200
1566,NU002,Testicular Biopsy,Nephrology And Urology - Biopsy,11390,13400,13400
1567,NU003,Transrectal Ultrasound (TRUS) guided prostate biopsy,Nephrology And Urology - Biopsy,7820,9200,9200
1568,NU004,Uroflow Study (Uroflowmetry),Nephrology And Urology Investigation,850,1000,1000
1569,NU005,Urodynamic Study (Cystometry),Nephrology And Urology Investigation,2550,3000,3000
1570,NU006,Voiding-cysto-urethrogram and retrograde urethrogram (Nephrostogram),Nephrology And Urology Investigation,7225,8500,8500
1571,NU007,Fistulogram for Arteriovenous Fistula,Nephrology And Urology Investigation,7820,9200,9200
1572,NU008,Partial Nephrectomy -open,Nephrology And Urology Procedure,36550,43000,49450
1573,NU009,Partial Nephrectomy-Laparoscopic/Endoscopic,Nephrology And Urology Procedure,45050,53000,60950
1574,NU010,Nephrectomy Simple -Open,Nephrology And Urology Procedure,53550,63000,72450
1575,NU011,Laparoscopic Nephrectomy,Nephrology And Urology Procedure,53550,63000,72450
1576,NU012,Nephrolithotomy -open,Nephrology And Urology Procedure,36550,43000,49450
1577,NU013,Nephrolithotomy -Laparoscopic/endoscopic,Nephrology And Urology Procedure,45050,53000,60950
1578,NU014,Pyelolithotomy-open,Nephrology And Urology Procedure,53550,63000,72450
1579,NU015,Pyelolithotomy -Laparoscopic/endoscopic,Nephrology And Urology Procedure,45050,53000,60950
1580,NU016,Operations for Hydronephrosis -pyeloplasty open,Nephrology And Urology Procedure,45050,53000,60950
1581,NU017,Operations for Hydronephrosis -pyeloplasty Lap/endoscopic,Nephrology And Urology Procedure,53550,63000,72450
1582,NU018,Operations for Hydronephrosis Endopyelotomy antegrade,Nephrology And Urology Procedure,36550,43000,49450
1583,NU019,Operations for Hydronephrosis Endopyelotomy retrograde,Nephrology And Urology Procedure,36550,43000,49450
1584,NU020,Operations for Hydronephrosis ureterocalicostomy,Nephrology And Urology Procedure,36550,43000,49450
1585,NU021,Operations for Hydronephrosis-Ileal ureter,Nephrology And Urology Procedure,45050,53000,60950
1586,NU022,Open Drainage of Perinephric Abscess,Nephrology And Urology Procedure,29750,35000,40250
1587,NU023,Percutaneous Drainage of Perinephric Abscess -Ultrasound guided,Nephrology And Urology Procedure,11390,13400,13400
1588,NU024,Cavernostomy,Nephrology And Urology Procedure,23375,27500,31625
1589,NU025,Operations for Cyst of the Kidney -open,Nephrology And Urology Procedure,36550,43000,49450
1590,NU026,CGHS rates for Operations for Cyst of the Kidney Lap/endoscopic,Nephrology And Urology Procedure,45050,53000,60950
1591,NU027,Ureterolithotomy -open,Nephrology And Urology Procedure,36550,43000,49450
1592,NU028,Ureterolithotomy-Lap/Endoscopic,Nephrology And Urology Procedure,45050,53000,60950
1593,NU029,Nephroureterectomy open,Nephrology And Urology Procedure,45050,53000,60950
1594,NU030,Operations for Ureter for -Double Ureters,Nephrology And Urology Procedure,45050,53000,60950
1595,NU031,Operations for Ureter -for Ectopia of Single Ureter,Nephrology And Urology Procedure,36550,43000,49450
1596,NU032,Operations for Vesicoureteral Reflux (VUR) -Open,Nephrology And Urology Procedure,36550,43000,49450
1597,NU033,Operations for Vesicoureteral Reflux (VUR)-Lap/Endoscopic,Nephrology And Urology Procedure,45050,53000,60950
1598,NU034,Operations for Vesicoureteral Reflux (VUR)/ Urinary incontinence with bulking agents,Nephrology And Urology Procedure,36550,43000,49450
1599,NU035,Ureterostomy - Cutaneous,Nephrology And Urology Procedure,29750,35000,40250
1600,NU036,Uretero-Colic anastomosis,Nephrology And Urology Procedure,36550,43000,49450
1601,NU037,Formation of an Ileal Conduit,Nephrology And Urology Procedure,45050,53000,60950
1602,NU038,Ureteric Catheterisation/DJ Stenting,Nephrology And Urology Procedure,17000,20000,23000
1603,NU039,DJ stent removal,Nephrology And Urology Procedure,8135,9570,9570
1604,NU040,Biopsy of Bladder (Cystoscopic) including (Cold Cup Biopsy),Nephrology And Urology Procedure,11390,13400,13400
1605,NU041,Cysto-Litholapaxy,Nephrology And Urology Procedure,29750,35000,40250
1606,NU042,Operations for Injuries of the Bladder,Nephrology And Urology Procedure,36550,43000,49450
1607,NU043,Suprapubic Drainage (Cystostomy/vesicostomy),Nephrology And Urology Procedure,17000,20000,23000
1608,NU044,Simple Cystectomy,Nephrology And Urology Procedure,36550,43000,49450
1609,NU045,Diverticulectomy -open,Nephrology And Urology Procedure,36550,43000,49450
1610,NU046,Diverticulectomy- Lap/Endoscopic,Nephrology And Urology Procedure,45050,53000,60950
1611,NU047,Diverticulectomy -Endoscopic incision of neck,Nephrology And Urology Procedure,29750,35000,40250
1612,NU048,Augmentation Cystoplasty,Nephrology And Urology Procedure,45050,53000,60950
1613,NU049,Operations for Exstrophy of the Bladder- Single stage repair,Nephrology And Urology Procedure,36550,43000,49450
1614,NU050,Operations for Exstrophy of the Bladder- Multistage repair,Nephrology And Urology Procedure,36550,43000,49450
1615,NU051,Operations for Exstrophy of the Bladder- simple cystectomy with urinary diversion,Nephrology And Urology Procedure,53550,63000,72450
1616,NU052,Repair of Ureterocele -Open,Nephrology And Urology Procedure,36550,43000,49450
1617,NU053,Repair of Ureterocele -Lap/Endoscopic,Nephrology And Urology Procedure,36550,43000,49450
1618,NU054,CGHS rates for Repair of Ureterocele -Endoscopic incision,Nephrology And Urology Procedure,29750,35000,40250
1619,NU055,Vesicovaginal Fistula (VVF) Repair (Open),Nephrology And Urology Procedure,36550,43000,49450
1620,NU056,Vesicovaginal Fistula (VVF) Repair (Laparoscopic),Nephrology And Urology Procedure,45050,53000,60950
1621,NU057,Open Suprapubic Prostatectomy,Nephrology And Urology Procedure,36550,43000,49450
1622,NU058,Open Retropubic Prostatectomy,Nephrology And Urology Procedure,36550,43000,49450
1623,NU059,Transurethral Resection of Prostate (TURP),Nephrology And Urology Procedure,53550,63000,72450
1624,NU060,Urethroscopy/ Cystopanendoscopy,Nephrology And Urology Procedure,11390,13400,13400
1625,NU061,Internal urethrotomy -optical,Nephrology And Urology Procedure,23375,27500,31625
1626,NU062,Internal urethrotomy -Core through urethroplasty,Nephrology And Urology Procedure,36550,43000,49450
1627,NU063,Urethral Reconstruction -End to end anastomosis,Nephrology And Urology Procedure,36550,43000,49450
1628,NU064,Urethral Reconstruction - substitution urethroplasty (Transpubic urethroplasty),Nephrology And Urology Procedure,45050,53000,60950
1629,NU065,Abdomino Perineal urethroplasty,Nephrology And Urology Procedure,45050,53000,60950
1630,NU066,Posterior Urethral Valve fulguration.,Nephrology And Urology Procedure,29750,35000,40250
1631,NU067,Operations for Incontinence of Urine - Male -Open,Nephrology And Urology Procedure,36550,43000,49450
1632,NU068,Operations for Incontinence of Urine - Male -Sling,Nephrology And Urology Procedure,45050,53000,60950
1633,NU069,Operations for Incontinence of Urine - Male-Bulking agent,Nephrology And Urology Procedure,36550,43000,49450
1634,NU070,Operations for Incontinence of Urine - Female -Open,Nephrology And Urology Procedure,36550,43000,49450
1635,NU071,Operations for Incontinence of Urine - Female-Sling,Nephrology And Urology Procedure,45050,53000,60950
1636,NU072,Operations for Incontinence of Urine - Female-Bulking agent,Nephrology And Urology Procedure,36550,43000,49450
1637,NU073,Reduction of Paraphimosis,Nephrology And Urology Procedure,5100,6000,6000
1638,NU074,Circumcision,Nephrology And Urology Procedure,11390,13400,13400
1639,NU075,Meatotomy,Nephrology And Urology Procedure,7225,8500,8500
1640,NU076,Meatoplasty,Nephrology And Urology Procedure,11390,13400,13400
1641,NU077,Operations for Hypospadias + Chordee Correction,Nephrology And Urology Procedure,29750,35000,40250
1642,NU078,Operations for Hypospadias - Second Stage,Nephrology And Urology Procedure,36550,43000,49450
1643,NU079,Operations for Hypospadias - One Stage Repair,Nephrology And Urology Procedure,36550,43000,49450
1644,NU080,Operations for Crippled Hypospadias,Nephrology And Urology Procedure,36550,43000,49450
1645,NU081,Operations for Epispadias -primary repair,Nephrology And Urology Procedure,36550,43000,49450
1646,NU082,Operations for Epispadias-crippled epispadias,Nephrology And Urology Procedure,45050,53000,60950
1647,NU083,Partial Amputation of the Penis,Nephrology And Urology Procedure,29750,35000,40250
1648,NU084,Total amputation of the Penis,Nephrology And Urology Procedure,36550,43000,49450
1649,NU085,Orchidectomy-Simple,Nephrology And Urology Procedure,23375,27500,31625
1650,NU086,Epididymectomy,Nephrology And Urology Procedure,17000,20000,23000
1651,NU087,Operations for Hydrocele - Unilateral,Nephrology And Urology Procedure,23375,27500,31625
1652,NU088,Operations for Hydrocele - Bilateral,Nephrology And Urology Procedure,29750,35000,40250
1653,NU089,Operation for Torsion of Testis,Nephrology And Urology Procedure,23375,27500,31625
1654,NU090,Micro-surgical Vasovasostomy /Vaso epididymal anastomosis .,Nephrology And Urology Procedure,23375,27500,31625
1655,NU091,Operations for Varicocele Unilateral Microsurgical,Nephrology And Urology Procedure,29750,35000,40250
1656,NU092,Operations for Varicocele Palomo's Unilateral -Laparoscopic,Nephrology And Urology Procedure,29750,35000,40250
1657,NU093,Operations for Varicocele Bilateral --Microsurgical,Nephrology And Urology Procedure,36550,43000,49450
1658,NU094,Operations for Varicocele Palomo's Bilateral - Laparoscopic,Nephrology And Urology Procedure,36550,43000,49450
1659,NU095,Excision of Filarial Scrotum,Nephrology And Urology Procedure,23375,27500,31625
1660,NU096,Kidney Transplantation (related),Nephrology And Urology Procedure,317900,374000,430100
1661,NU097,Kidney Transplantation (Spousal/ unrelated) Including immunosuppressant therapy,Nephrology And Urology Procedure,361250,425000,488750
1662,NU098,Kidney Transplantation (Cadaver),Nephrology And Urology Procedure,297500,350000,402500
1663,NU099,ABO incompatible Transplantation,Nephrology And Urology Procedure,510000,600000,690000
1664,NU100,Kidney Transplant Graft Nephrectomy,Nephrology And Urology Procedure,69700,82000,94300
1665,NU101,Donor Nephrectomy (Open),Nephrology And Urology Procedure,53550,63000,72450
1666,NU102,Donor Nephrectomy (Laparoscopic),Nephrology And Urology Procedure,93500,110000,126500
1667,NU103,Post-Transplant Collection drainage for Lymphocele (open),Nephrology And Urology Procedure,7820,9200,10580
1668,NU104,Post-Transplant Collection drainage for Lymphocele (percutaneous),Nephrology And Urology Procedure,11390,13400,15410
1669,NU105,Post-Transplant Collection drainage for Lymphocele (Laparoscopic),Nephrology And Urology Procedure,17000,20000,23000
1670,NU106,Arteriovenous Fistula for Haemodialysis,Nephrology And Urology Procedure,17000,20000,20000
1671,NU107,Arteriovenous Shunt for Haemodialysis,Nephrology And Urology Procedure,17000,20000,20000
1672,NU108,Jugular Catheterization for Haemodialysis,Nephrology And Urology Procedure,5100,6000,6000
1673,NU109,Subclavian Catheterization for Haemodialysis,Nephrology And Urology Procedure,5100,6000,6000
1674,NU110,One Sided (single Lumen) Femoral Catheterization for Haemodialysis,Nephrology And Urology Procedure,3400,4000,4000
1675,NU111,Bilateral (single Lumen) Femoral Catheterization for Haemodialysis,Nephrology And Urology Procedure,5100,6000,6000
1676,NU112,Double Lumen Femoral Catheterization for Haemodialysis,Nephrology And Urology Procedure,11390,13400,13400
1677,NU113,Permcath Insertion excluding the cost of the catheter,Nephrology And Urology Procedure,7225,8500,8500
1678,NU114,Arterio Venous Prosthetic Graft,Nephrology And Urology Procedure,36550,43000,49450
1679,NU115,Single lumen Jugular Catheterization,Nephrology And Urology Procedure,4250,5000,5000
1680,NU116,Single lumen Subclavian Catheterization,Nephrology And Urology Procedure,4250,5000,5000
1681,NU117,Plasma Exchange/ Plasmapheresis,Nephrology And Urology Procedure,17000,20000,20000
1682,NU118,Continuous Ambulatory Peritoneal Dialysis (CAPD) catheter insertion- Open method,Nephrology And Urology Procedure,17000,20000,20000
1683,NU119,Continuous Ambulatory Peritoneal Dialysis (CAPD) catheter insertion- Schlendinger/ Seldinger method,Nephrology And Urology Procedure,17000,20000,20000
1684,NU120,Sustained low efficiency haemodialysis /haemodialysis,Nephrology And Urology Procedure,7820,9200,9200
1685,NU121,Continuous Veno venous/Arteriovenous Haemofiltration /Haemofiltration/CRRT per day,Nephrology And Urology Procedure,14450,17000,17000
1686,NU122,Haemodialysis / Haemodialysis for Sero negative cases including Dialyser and all other Consumables,Nephrology And Urology Procedure,2125,2500,2500
1687,NU123,Haemodialysis / Haemodialysis for Sero Positive cases including Dialyser and all other Consumables,Nephrology And Urology Procedure,2550,3000,3000
1688,NU124,Acute Peritoneal Dialysis,Nephrology And Urology Procedure,4505,5300,5300
1689,NU125,Peritoneal Dialysis,Nephrology And Urology Procedure,3060,3600,3600
1690,NU126,Fistula stenosis dilation,Nephrology And Urology Procedure,11390,13400,13400
1691,NU127,Slow continuous Ultrafiltration,Nephrology And Urology Procedure,7225,8500,8500
1692,NU128,Percutaneous Nephrolithotomy (PCNL) - Unilateral,Nephrology And Urology Procedure,45050,53000,60950
1693,NU129,Percutaneous Nephrolithotomy (PCNL) - Bilateral,Nephrology And Urology Procedure,53550,63000,72450
1694,NU130,Endoscopic Bulking agent Inject (including cost of bulking agent),Nephrology And Urology Procedure,29750,35000,40250
1695,NU131,Nephrostomy -Open,Nephrology And Urology Procedure,29750,35000,40250
1696,NU132,Nephrostomy -Lap/Endoscopic,Nephrology And Urology Procedure,29750,35000,40250
1697,NU133,Ureteric Reimplant for Megaureter/ Vesicoureteric reflux/ureterocele (Open),Nephrology And Urology Procedure,36550,43000,49450
1698,NU134,Ureteric Reimplant for Megaureter / Vesicoureteric reflux/ ureterocele (Laparoscopic),Nephrology And Urology Procedure,36550,43000,49450
1699,NU135,Partial Cystectomy,Nephrology And Urology Procedure,45050,53000,60950
1700,NU136,Transurethral Resection of Prostate (TURP) with Cystolithotripsy,Nephrology And Urology Procedure,53550,63000,72450
1701,NU137,Closure of Urethral Fistula,Nephrology And Urology Procedure,29750,35000,40250
1702,NU138,Orchidopexy - Unilateral -Open,Nephrology And Urology Procedure,29750,35000,40250
1703,NU139,Orchidopexy - Unilateral- Lap/Endoscopic,Nephrology And Urology Procedure,36550,43000,49450
1704,NU140,Orchidopexy - Bilateral -Open,Nephrology And Urology Procedure,36550,43000,49450
1705,NU141,Orchidopexy - Bilateral -Lap/Endoscopic,Nephrology And Urology Procedure,45050,53000,60950
1706,NU142,Cystolithotomy -Suprapubic,Nephrology And Urology Procedure,23375,27500,31625
1707,NU143,Endoscopic Removal of Stone in Bladder,Nephrology And Urology Procedure,29750,35000,40250
1708,NU144,Resection Bladder Neck Endoscopic / Bladder neck incision / transurethral incision on prostrate,Nephrology And Urology Procedure,36550,43000,49450
1709,NU145,Ureteroscopic Surgery,Nephrology And Urology Procedure,29750,35000,40250
1710,NU146,Urethroplasty 1st Stage,Nephrology And Urology Procedure,36550,43000,49450
1711,NU147,Scrotal Exploration,Nephrology And Urology Procedure,23375,27500,31625
1712,NU148,Perineal Urethrostomy,Nephrology And Urology Procedure,29750,35000,40250
1713,NU149,Dilatation of Stricture Urethra under G.A.,Nephrology And Urology Procedure,4250,5000,5000
1714,NU150,Laparoscopic pyelolithotomy,Nephrology And Urology Procedure,53550,63000,72450
1715,NU151,Laparoscopic Pyeloplasty,Nephrology And Urology Procedure,53550,63000,72450
1716,NU152,Laparoscopic surgery for Renal cyst,Nephrology And Urology Procedure,53550,63000,72450
1717,NU153,Laparoscopic ureterolithotomy,Nephrology And Urology Procedure,53550,63000,72450
1718,NU154,Laparoscopic Nephroureterectomy,Nephrology And Urology Procedure,45050,53000,60950
1719,NU155,Extracorporeal Shock Wave Lithotripsy (ESWL),Nephrology And Urology Procedure,36550,43000,49450
1720,NU156,Diagnostic Cystoscopy,Nephrology And Urology Procedure,7225,8500,8500
1721,NU157,Cystoscopy with Retrograde Catheter -Unilateral/RGP,Nephrology And Urology Procedure,17000,20000,23000
1722,NU158,Cystoscopy with Retrograde Catheter - Bilateral/RGP,Nephrology And Urology Procedure,23375,27500,31625
1723,NU159,Retrograde Intrarenal Surgery (RIRS)/ Flexible Ureteroscopy,Nephrology And Urology Procedure,53550,63000,72450
1724,NU160,Holmium YAG Prostate Surgery,Nephrology And Urology Procedure,64600,76000,87400
1725,NU161,Holmium YAG Optical Internal Urethrotomy (OIU),Nephrology And Urology Procedure,36550,43000,49450
1726,NU162,Holmium YAG Core through internal Urethrotomy,Nephrology And Urology Procedure,45050,53000,60950
1727,NU163,Holmium YAG Stone Lithotripsy,Nephrology And Urology Procedure,64600,76000,87400
1728,NU164,Green Light Laser for Prostate,Nephrology And Urology Procedure,64600,76000,87400
1729,NU165,Cystoscopic Botulinum Toxin Injection ( Over active bladder/ Neurogenic bladder) -excluding cost of drug,Nephrology And Urology Procedure,11390,13400,13400
1730,NU166,Peyronie's Disease - Plaque excision with grafting,Nephrology And Urology Procedure,29750,35000,40250
1731,NU167,Prosthetic Surgery for urinary incontinence,Nephrology And Urology Procedure,36550,43000,49450
1732,NU168,Ultrasound Guided Percutaneous Nephrostomy (PCN),Nephrology And Urology Procedure,17000,20000,20000
1733,NI001,Electroencephalogram (EEG)/ Video EEG,Neurology Investigation,850,1000,1000
1734,NI002,Electromyography (EMG),Neurology Investigation,1275,1500,1500
1735,NI003,"Nerve conduction velocity (NCV), -two or more limbs",Neurology Investigation,1275,1500,1500
1736,NI004,Repetitive nerve stimulation (RNS)-Decremental response (before and after neostigmine),Neurology Investigation,1275,1500,1500
1737,NI005,Repetitive nerve stimulation (RNS)-Incremental response,Neurology Investigation,1275,1500,1500
1738,NI006,Somatosensory evoked potentials (SSEP),Neurology Investigation,1275,1500,1500
1739,NI007,Polysomnography (PSG) / Level I Sleep study including Room Rent and Titration,Neurology Investigation,7650,9000,9000
1740,NI008,Brachial plexus study,Neurology Investigation,1275,1500,1500
1741,NI009,RNS( Repetitive Nerve stimulation),Neurology Investigation,1360,1600,1600
1742,NS001,Lumbar Pressure Monitoring,Neuro-Surgery Investigation,7820,9200,9200
1743,NS002,Brain Mapping,Neuro-Surgery Investigation,23375,27500,27500
1744,NS003,Nerve Biopsy,Neuro-Surgery Biopsy,17000,20000,20000
1745,NS004,Brain Biopsy,Neuro-Surgery Biopsy,36550,43000,43000
1746,NS005,Craniotomy and Evacuation of Haematoma -Subdural,Neuro-Surgery Procedure,69700,82000,94300
1747,NS006,Craniotomy and Evacuation of Haematoma - Extradural,Neuro-Surgery Procedure,69700,82000,94300
1748,NS007,Evacuation /Excision of Brain Abscess by craniotomy,Neuro-Surgery Procedure,69700,82000,94300
1749,NS008,Excision of Lobe (Frontal Temporal Cerebellum etc.),Neuro-Surgery Procedure,69700,82000,94300
1750,NS009,Twist Drill Craniostomy,Neuro-Surgery Procedure,36550,43000,49450
1751,NS010,Subdural Tapping,Neuro-Surgery Procedure,11390,13400,15410
1752,NS011,Ventricular Tapping,Neuro-Surgery Procedure,29750,35000,40250
1753,NS012,Brain Abscess Tapping,Neuro-Surgery Procedure,23375,27500,31625
1754,NS013,Placement of Intracranial pressure (ICP) Monitor,Neuro-Surgery Procedure,23375,27500,31625
1755,NS014,Skull Traction Application,Neuro-Surgery Procedure,7820,9200,10580
1756,NS015,Vascular Malformations,Neuro-Surgery Procedure,82450,97000,111550
1757,NS016,Meningoencephalocele excision and repair,Neuro-Surgery Procedure,64600,76000,87400
1758,NS017,Meningomyelocele Repair,Neuro-Surgery Procedure,53550,63000,72450
1759,NS018,CSF Rhinorrhoea Repair,Neuro-Surgery Procedure,53550,63000,72450
1760,NS019,Cranioplasty,Neuro-Surgery Procedure,53550,63000,72450
1761,NS020,Anterior Cervical Discectomy,Neuro-Surgery Procedure,53550,63000,72450
1762,NS021,Brachial Plexus Exploration and neurotization,Neuro-Surgery Procedure,53550,63000,72450
1763,NS022,Median Nerve Decompression,Neuro-Surgery Procedure,36550,43000,49450
1764,NS023,Peripheral Nerve Surgery - Major,Neuro-Surgery Procedure,53550,63000,72450
1765,NS024,Peripheral Nerve Surgery Minor,Neuro-Surgery Procedure,45050,53000,60950
1766,NS025,Ventriculoatrial /Ventriculoperitoneal Shunt,Neuro-Surgery Procedure,45050,53000,60950
1767,NS026,Anterior Cervical Spine Surgery with fusion,Neuro-Surgery Procedure,64600,76000,87400
1768,NS027,Anterio Lateral Decompression of spine,Neuro-Surgery Procedure,69700,82000,94300
1769,NS028,Cervical or Dorsal or Lumbar Laminectomy,Neuro-Surgery Procedure,45050,53000,60950
1770,NS029,Combined Trans-Oral Surgery & Craniovertebral (CV) Junction Fusion,Neuro-Surgery Procedure,53550,63000,72450
1771,NS030,Craniovertebral Junction (CVJ) Fusion procedures,Neuro-Surgery Procedure,64600,76000,87400
1772,NS031,Depressed Fracture Elevation,Neuro-Surgery Procedure,45050,53000,60950
1773,NS032,Lumbar Discectomy,Neuro-Surgery Procedure,53550,63000,72450
1774,NS033,Endarterectomy (Carotid),Neuro-Surgery Procedure,53550,63000,72450
1775,NS034,Radiofrequency (RF) Lesion for Trigeminal Neuralgia,Neuro-Surgery Procedure,45050,53000,60950
1776,NS035,Spasticity Surgery,Neuro-Surgery Procedure,45050,53000,60950
1777,NS036,Spinal Fusion Procedure,Neuro-Surgery Procedure,64600,76000,87400
1778,NS037,Spinal Bifida Surgery Major,Neuro-Surgery Procedure,53550,63000,72450
1779,NS038,Spinal Bifida Surgery Minor,Neuro-Surgery Procedure,45050,53000,60950
1780,NS039,Stereotaxic Procedures- biopsy/aspiration of cyst,Neuro-Surgery Procedure,36550,43000,49450
1781,NS040,Trans Sphenoidal Surgery,Neuro-Surgery Procedure,45050,53000,60950
1782,NS041,Trans Oral Surgery,Neuro-Surgery Procedure,45050,53000,60950
1783,NS042,Implantation of Deep Brain Stimulation (DBS) -One electrode (as per guidelines mentioned in OM.No.Z15025/44/2023/DIR/CGHS/EHS Dated 09.09.2024),Neuro-Surgery Procedure,53550,63000,72450
1784,NS043,Implantation of Deep Brain Stimulation (DBS) -two electrodes (as per guidelines mentioned in OM.No.Z15025/44/2023/DIR/CGHS/EHS Dated 09.09.2024),Neuro-Surgery Procedure,64600,76000,87400
1785,NS044,Endoscopic aqueductoplasty,Neuro-Surgery Procedure,45050,53000,60950
1786,NS045,Facial nerve reconstruction,Neuro-Surgery Procedure,64600,76000,87400
1787,NS046,Carotid Stenting excluding the cost of Stent,Neuro-Surgery Procedure,53550,63000,72450
1788,NS047,Cervical disc arthroplasty,Neuro-Surgery Procedure,53550,63000,72450
1789,NS048,Lumbar disc arthroplasty,Neuro-Surgery Procedure,45050,53000,60950
1790,NS049,Corpus callostomy for Epilepsy,Neuro-Surgery Procedure,69700,82000,94300
1791,NS050,Hemispherotomy for Epilepsy,Neuro-Surgery Procedure,69700,82000,94300
1792,NS051,Endoscopic CSF rhinorrhoea repair,Neuro-Surgery Procedure,45050,53000,60950
1793,NS052,Burr hole evacuation of chronic subdural haematoma,Neuro-Surgery Procedure,53550,63000,72450
1794,NS053,Epilepsy surgery other than at Code No. NS049 and NS050,Neuro-Surgery Procedure,82450,97000,111550
1795,NS054,Radiofrequency (RF) lesion for facet joint pain syndrome,Neuro-Surgery Procedure,53550,63000,72450
1796,NS055,Cervical Laminoplasty,Neuro-Surgery Procedure,64600,76000,87400
1797,NS056,Lateral mass C1-C2 screw fixation,Neuro-Surgery Procedure,64600,76000,87400
1798,NS057,Microsurgical decompression for Trigeminal nerve,Neuro-Surgery Procedure,53550,63000,72450
1799,NS058,Microsurgical decompression for hemifacial spasm,Neuro-Surgery Procedure,53550,63000,72450
1800,NS059,Extracranial-Intracranial Bypass Procedures (EC-IC) bypass procedures,Neuro-Surgery Procedure,53550,63000,72450
1801,NS060,Image Guided Craniotomy,Neuro-Surgery Procedure,69700,82000,94300
1802,NS061,Baclofen pump implantation lesioning for movement disorder including Parkinsonism/Spinal Cord Stimulator Implantation,Neuro-Surgery Procedure,64600,76000,87400
1803,NS062,Programmable Ventriculo-Peritoneal (VP) shunt excluding the cost of the Device,Neuro-Surgery Procedure,53550,63000,72450
1804,NS063,Endoscopic Sympathectomy,Neuro-Surgery Procedure,53550,63000,72450
1805,NS064,Lumbar Puncture,Neuro-Surgery Procedure,2550,3000,3000
1806,NS065,External Ventricular Drainage (EVD),Neuro-Surgery Procedure,23375,27500,31625
1807,NS066,Endoscopic 3rd ventriculostomy,Neuro-Surgery Procedure,45050,53000,60950
1808,NS067,Endoscopic cranial surgery/Biopsy/aspiration,Neuro-Surgery Procedure,53550,63000,72450
